Year,Month,Harbor name,Ship count,Weight,Year-Month
2010,1,부산,1592,30727140,2010-01-01
2010,2,부산,1421,27322348,2010-02-01
2010,3,부산,1595,32201638,2010-03-01
2010,4,부산,1619,31953619,2010-04-01
2010,5,부산,1709,33669914,2010-05-01
2010,6,부산,1605,31517430,2010-06-01
2010,7,부산,1798,35692042,2010-07-01
2010,8,부산,1697,35446151,2010-08-01
2010,9,부산,1652,34221880,2010-09-01
2010,10,부산,1730,34932870,2010-10-01
2010,11,부산,1689,34106738,2010-11-01
2010,12,부산,1638,35251713,2010-12-01
2011,1,부산,1721,35046137,2011-01-01
2011,2,부산,1485,30661160,2011-02-01
2011,3,부산,1768,37019087,2011-03-01
2011,4,부산,1752,37198871,2011-04-01
2011,5,부산,1674,38370050,2011-05-01
2011,6,부산,1557,36519899,2011-06-01
2011,7,부산,1659,39225003,2011-07-01
2011,8,부산,1686,38355237,2011-08-01
2011,9,부산,1628,38271259,2011-09-01
2011,10,부산,1689,38541630,2011-10-01
2011,11,부산,1657,37464354,2011-11-01
2011,12,부산,1701,39076304,2011-12-01
2012,1,부산,1646,39253968,2012-01-01
2012,2,부산,1459,33342805,2012-02-01
2012,3,부산,1711,39873374,2012-03-01
2012,4,부산,1675,39068709,2012-04-01
2012,5,부산,1717,40770656,2012-05-01
2012,6,부산,1681,38093665,2012-06-01
2012,7,부산,1808,41018831,2012-07-01
2012,8,부산,1587,38387207,2012-08-01
2012,9,부산,1655,40876976,2012-09-01
2012,10,부산,1677,41504174,2012-10-01
2012,11,부산,1598,41250204,2012-11-01
2012,12,부산,1646,40707599,2012-12-01
2013,1,부산,1664,41415957,2013-01-01
2013,2,부산,1438,35785348,2013-02-01
2013,3,부산,1757,44024446,2013-03-01
2013,4,부산,1709,42465574,2013-04-01
2013,5,부산,1635,43646846,2013-05-01
2013,6,부산,1554,42727838,2013-06-01
2013,7,부산,1639,45091064,2013-07-01
2013,8,부산,1627,43766797,2013-08-01
2013,9,부산,1512,42262570,2013-09-01
2013,10,부산,1531,41030246,2013-10-01
2013,11,부산,1548,43557945,2013-11-01
2013,12,부산,1570,42255463,2013-12-01
2014,1,부산,1515,40974138,2014-01-01
2014,2,부산,1278,36246039,2014-02-01
2014,3,부산,1589,42568433,2014-03-01
2014,4,부산,1580,42189943,2014-04-01
2014,5,부산,1574,43686348,2014-05-01
2014,6,부산,1565,44345093,2014-06-01
2014,7,부산,1495,41045113,2014-07-01
2014,8,부산,1495,41505478,2014-08-01
2014,9,부산,1455,41145110,2014-09-01
2014,10,부산,1393,40434164,2014-10-01
2014,11,부산,1470,40099882,2014-11-01
2014,12,부산,1562,41591032,2014-12-01
2015,1,부산,1570,43911716,2015-01-01
2015,2,부산,1419,39770788,2015-02-01
2015,3,부산,1631,45182346,2015-03-01
2015,4,부산,1650,46707589,2015-04-01
2015,5,부산,1670,47897204,2015-05-01
2015,6,부산,1539,46100602,2015-06-01
2015,7,부산,1571,47405433,2015-07-01
2015,8,부산,1630,48451788,2015-08-01
2015,9,부산,1587,48775471,2015-09-01
2015,10,부산,1658,49530865,2015-10-01
2015,11,부산,1590,47759902,2015-11-01
2015,12,부산,1637,50699984,2015-12-01
2016,1,부산,1601,49304603,2016-01-01
2016,2,부산,1499,45988355,2016-02-01
2016,3,부산,1689,50603929,2016-03-01
2016,4,부산,1714,49890752,2016-04-01
2016,5,부산,1701,49874037,2016-05-01
2016,6,부산,1672,49164247,2016-06-01
2016,7,부산,1737,52762951,2016-07-01
2016,8,부산,1646,51136004,2016-08-01
2016,9,부산,1605,51306395,2016-09-01
2016,10,부산,1607,48747953,2016-10-01
2016,11,부산,1649,50205563,2016-11-01
2016,12,부산,1626,48850769,2016-12-01
2017,1,부산,1620,49548730,2017-01-01
2017,2,부산,1465,45023880,2017-02-01
2017,3,부산,1731,52934250,2017-03-01
2017,4,부산,1699,51145645,2017-04-01
2017,5,부산,1746,50851857,2017-05-01
2017,6,부산,1635,50393556,2017-06-01
2017,7,부산,1731,51355903,2017-07-01
2017,8,부산,1676,49185348,2017-08-01
2017,9,부산,1614,49925829,2017-09-01
2017,10,부산,1529,47898107,2017-10-01
2017,11,부산,1599,48611196,2017-11-01
2017,12,부산,1627,50046551,2017-12-01
2018,1,부산,1596,49644358,2018-01-01
2018,2,부산,1434,44600251,2018-02-01
2018,3,부산,1536,49729285,2018-03-01
2018,4,부산,1648,50820339,2018-04-01
2018,5,부산,1692,53004150,2018-05-01
2018,6,부산,1643,52651905,2018-06-01
2018,7,부산,1620,51025543,2018-07-01
2018,8,부산,1627,51389450,2018-08-01
2018,9,부산,1570,50651273,2018-09-01
2018,10,부산,1619,50804879,2018-10-01
2018,11,부산,1618,52393511,2018-11-01
2018,12,부산,1582,51926993,2018-12-01
2019,1,부산,1732,53704652,2019-01-01
2019,2,부산,1499,45827207,2019-02-01
2019,3,부산,1676,52829667,2019-03-01
2019,4,부산,1700,52542119,2019-04-01
2019,5,부산,1715,54901638,2019-05-01
2019,6,부산,1640,50509500,2019-06-01
2019,7,부산,1605,51760452,2019-07-01
2019,8,부산,1565,51200593,2019-08-01
2019,9,부산,1475,49233460,2019-09-01
2019,10,부산,1551,51865876,2019-10-01
2019,11,부산,1525,50424374,2019-11-01
2019,12,부산,1703,53376925,2019-12-01
2020,1,부산,1610,51208961,2020-01-01
2020,2,부산,1580,49503344,2020-02-01
2020,3,부산,1569,54018406,2020-03-01
2020,4,부산,1537,50154446,2020-04-01
2020,5,부산,1564,50070429,2020-05-01
2020,6,부산,1464,48946965,2020-06-01
2020,7,부산,1548,52825128,2020-07-01
2020,8,부산,1502,50630836,2020-08-01
2020,9,부산,1294,44280239,2020-09-01
2020,10,부산,1450,48838629,2020-10-01
2020,11,부산,1385,47302219,2020-11-01
2020,12,부산,1461,47930618,2020-12-01
2021,1,부산,1377,45373969,2021-01-01
2021,2,부산,1193,40478688,2021-02-01
2021,3,부산,1391,47819442,2021-03-01
2021,4,부산,1399,44647404,2021-04-01
2021,5,부산,1438,46880448,2021-05-01
2021,6,부산,1370,45072189,2021-06-01
2021,7,부산,1356,44032641,2021-07-01
2021,8,부산,1387,43021834,2021-08-01
2021,9,부산,1284,42607860,2021-09-01
2021,10,부산,1362,45069690,2021-10-01
2021,11,부산,1340,42017196,2021-11-01
2021,12,부산,1396,43121695,2021-12-01
2022,1,부산,1387,45555847,2022-01-01
2022,2,부산,1205,38951160,2022-02-01
2022,3,부산,1410,43315489,2022-03-01
2022,4,부산,1423,44928804,2022-04-01
2022,5,부산,1445,44337016,2022-05-01
2022,6,부산,1267,42406354,2022-06-01
2022,7,부산,1407,46114870,2022-07-01
2022,8,부산,1411,45601097,2022-08-01
2022,9,부산,1317,39521048,2022-09-01
2022,10,부산,1458,48171022,2022-10-01
2022,11,부산,1510,48998576,2022-11-01
2022,12,부산,1444,47423179,2022-12-01
2023,1,부산,1464,48853304,2023-01-01
2023,2,부산,1342,43013044,2023-02-01
2023,3,부산,1603,53034508,2023-03-01
2023,4,부산,1610,50954045,2023-04-01
2023,5,부산,1633,52964375,2023-05-01
2023,6,부산,1496,51107291,2023-06-01
2023,7,부산,1539,51534520,2023-07-01
2023,8,부산,1456,51901227,2023-08-01
2023,9,부산,1455,52107627,2023-09-01
2023,10,부산,1509,51451793,2023-10-01
2023,11,부산,1446,50896896,2023-11-01
2023,12,부산,1396,50778097,2023-12-01
2024,1,부산,1420,52145820,2024-01-01
2024,2,부산,1250,42176026,2024-02-01
2024,3,부산,1415,50970429,2024-03-01
2024,4,부산,1482,49132934,2024-04-01
2024,5,부산,1460,49434768,2024-05-01
2024,6,부산,1367,47383747,2024-06-01
2024,7,부산,1446,50580207,2024-07-01
2024,8,부산,1433,50993081,2024-08-01
2024,9,부산,1332,47075477,2024-09-01
2024,10,부산,1391,50745789,2024-10-01
2024,11,부산,1308,48409088,2024-11-01
2024,12,부산,1362,49894730,2024-12-01
