Year,Month,Harbor name,Ship count,Weight
2010,7,삼척,9,"15,291"
2010,7,속초,12,"104,602"
2010,7,옥계,6,"121,986"
2010,7,호산,0,0
2010,7,대산,155,"4,053,716"
2010,7,보령,13,"678,328"
2010,7,태안,15,"614,934"
2010,7,군산,125,"3,032,744"
2010,7,장항,3,"5,971"
2010,7,목포,106,"2,386,768"
2010,7,완도,0,0
2010,7,여수,113,"2,746,156"
2010,7,광양,612,"16,775,851"
2010,7,포항,240,"2,589,961"
2010,7,마산,125,"2,012,302"
2010,7,삼천포,16,"570,319"
2010,7,옥포,9,"40,248"
2010,7,장승포,0,0
2010,7,진해,16,"154,642"
2010,7,통영,29,"20,512"
2010,7,고현,10,"82,747"
2010,7,하동,10,"571,023"
2010,7,울산,727,"12,517,451"
2010,7,제주,16,"424,328"
2010,7,서귀포,0,0
2010,7,기타,0,0
2010,8,부산,"1,697","35,446,151"
2010,8,인천,604,"9,971,024"
2010,8,평택.당진,310,"7,329,187"
2010,8,경인항,0,0
2010,8,동해.묵호,76,"928,788"
2010,8,삼척,8,"14,741"
2010,8,속초,20,"118,482"
2010,8,옥계,3,"80,491"
2010,8,호산,0,0
2010,8,대산,139,"2,994,238"
2010,8,보령,9,"451,155"
2010,8,태안,15,"703,016"
2010,8,군산,96,"2,197,160"
2010,8,장항,4,"8,197"
2010,8,목포,83,"1,598,713"
2010,8,완도,0,0
2010,8,여수,118,"3,392,090"
2010,8,광양,602,"16,548,469"
2010,8,포항,256,"3,064,874"
2010,8,마산,131,"2,040,470"
2010,8,삼천포,5,"235,203"
2010,8,옥포,9,"181,247"
2010,8,장승포,0,0
2010,8,진해,18,"124,979"
2010,8,통영,30,"19,928"
2010,8,고현,7,"56,033"
2010,8,하동,12,"606,123"
2010,8,울산,711,"12,733,832"
2010,8,제주,19,"459,305"
2010,8,서귀포,0,0
2010,8,기타,0,0
2010,9,부산,"1,652","34,221,880"
2010,9,인천,593,"9,857,623"
2010,9,평택.당진,304,"6,731,531"
2010,9,경인항,0,0
2010,9,동해.묵호,91,"974,443"
2010,9,삼척,4,"7,588"
2010,9,속초,52,"96,981"
2010,9,옥계,6,"98,553"
2010,9,호산,0,0
2010,9,대산,132,"3,343,321"
2010,9,보령,10,"493,780"
2010,9,태안,11,"565,098"
2010,9,군산,125,"2,874,996"
2010,9,장항,5,"8,843"
2010,9,목포,77,"1,685,888"
2010,9,완도,1,895
2010,9,여수,107,"3,055,096"
2010,9,광양,602,"16,186,770"
2010,9,포항,264,"2,699,539"
2010,9,마산,118,"2,117,040"
2010,9,삼천포,10,"511,823"
2010,9,옥포,9,"39,042"
2010,9,장승포,0,0
2010,9,진해,20,"154,431"
2010,9,통영,25,"16,828"
2010,9,고현,7,"44,826"
2010,9,하동,8,"474,131"
2010,9,울산,696,"12,660,602"
2010,9,제주,24,"744,052"
2010,9,서귀포,0,0
2010,9,기타,0,0
2010,10,부산,"1,730","34,932,870"
2010,10,인천,622,"10,389,735"
2010,10,평택.당진,350,"7,937,811"
2010,10,경인항,0,0
2010,10,동해.묵호,86,"1,105,083"
2010,10,삼척,7,"12,118"
2010,10,속초,32,"23,724"
2010,10,옥계,5,"125,914"
2010,10,호산,0,0
2010,10,대산,140,"3,051,382"
2010,10,보령,9,"454,553"
2010,10,태안,10,"542,008"
2010,10,군산,123,"2,936,046"
2010,10,장항,6,"12,044"
2010,10,목포,83,"1,851,911"
2010,10,완도,2,940
2010,10,여수,116,"3,109,142"
2010,10,광양,598,"16,843,310"
2010,10,포항,273,"2,870,159"
2010,10,마산,132,"2,398,898"
2010,10,삼천포,8,"340,819"
2010,10,옥포,11,"35,631"
2010,10,장승포,0,0
2010,10,진해,18,"161,166"
2010,10,통영,20,"11,390"
2010,10,고현,16,"107,006"
2010,10,하동,11,"558,950"
2010,10,울산,674,"12,337,801"
2010,10,제주,19,"508,762"
2010,10,서귀포,0,0
2010,10,기타,0,0
2010,11,부산,"1,689","34,106,738"
2010,11,인천,639,"11,621,026"
2010,11,평택.당진,353,"8,490,364"
2010,11,경인항,0,0
2010,11,동해.묵호,83,"1,061,139"
2010,11,삼척,10,"17,182"
2010,11,속초,7,"3,962"
2010,11,옥계,8,"168,208"
2010,11,호산,0,0
2010,11,대산,130,"2,994,478"
2010,11,보령,8,"446,741"
2010,11,태안,12,"598,398"
2010,11,군산,124,"3,087,175"
2010,11,장항,9,"18,472"
2010,11,목포,71,"1,618,180"
2010,11,완도,2,844
2010,11,여수,128,"4,038,150"
2010,11,광양,610,"16,865,703"
2010,11,포항,269,"3,433,704"
2010,11,마산,134,"2,236,023"
2010,11,삼천포,4,"213,955"
2010,11,옥포,12,"57,249"
2010,11,장승포,0,0
2010,11,진해,10,"115,291"
2010,11,통영,30,"21,853"
2010,11,고현,12,"78,080"
2010,11,하동,12,"646,520"
2010,11,울산,719,"12,940,689"
2010,11,제주,8,"134,614"
2010,11,서귀포,0,0
2010,11,기타,0,0
2010,12,부산,"1,638","35,251,713"
2010,12,인천,646,"11,212,622"
2010,12,평택.당진,311,"8,666,477"
2010,12,경인항,0,0
2010,12,동해.묵호,86,"683,365"
2010,12,삼척,7,"12,613"
2010,12,속초,5,"2,843"
