Port Name,Port Address,Latitude,Longitude
신항,부산광역시 강서구 신항남로 330,35.08051304,128.826699
북항,부산 동구 초량동 45-67,35.10365586,129.0424584
감천항,부산 사하구 구평동,35.08456248,128.9976917
