,Year,GT(Gross Tonnage),CT(Cargo Throughput)
0,2013,508030094,324858224
1,2014,495830773,346640071
2,2015,562193688,359676343
3,2016,597835558,362369364
4,2017,596920852,401232669
5,2018,608641937,461461501
6,2019,618176463,468760569
7,2020,595710220,410953663
8,2021,530143056,442558714
9,2022,535324462,425083622
10,2023,608596727,434668799
11,2024,588942096,463488214
