,Year,Month,Harbor name,Ship count,Weight
169,2010,06,호산,0,0
170,2010,06,대산,133,"3,138,513"
171,2010,06,보령,7,"350,804"
172,2010,06,태안,12,"641,442"
173,2010,06,군산,125,"3,084,673"
174,2010,06,장항,6,"10,269"
175,2010,06,목포,94,"2,163,497"
176,2010,06,완도,1,998
177,2010,06,여수,121,"2,836,019"
178,2010,06,광양,570,"15,281,657"
179,2010,06,포항,272,"2,882,349"
180,2010,06,마산,132,"2,059,714"
181,2010,06,삼천포,15,"443,402"
182,2010,06,옥포,8,"45,864"
183,2010,06,장승포,0,0
184,2010,06,진해,11,"80,406"
185,2010,06,통영,30,"22,900"
186,2010,06,고현,7,"65,874"
187,2010,06,하동,11,"564,989"
188,2010,06,울산,721,"12,400,434"
189,2010,06,제주,15,"222,951"
190,2010,06,서귀포,0,0
191,2010,06,기타,0,0
192,2010,07,항만명,"5,209","103,918,631"
193,2010,07,부산,"1,798","35,692,042"
194,2010,07,인천,612,"10,549,864"
195,2010,07,평택.당진,331,"6,928,149"
196,2010,07,경인항,0,0
197,2010,07,동해.묵호,101,"1,228,696"
198,2010,07,삼척,9,"15,291"
199,2010,07,속초,12,"104,602"
200,2010,07,옥계,6,"121,986"
201,2010,07,호산,0,0
202,2010,07,대산,155,"4,053,716"
203,2010,07,보령,13,"678,328"
204,2010,07,태안,15,"614,934"
205,2010,07,군산,125,"3,032,744"
206,2010,07,장항,3,"5,971"
207,2010,07,목포,106,"2,386,768"
208,2010,07,완도,0,0
209,2010,07,여수,113,"2,746,156"
210,2010,07,광양,612,"16,775,851"
211,2010,07,포항,240,"2,589,961"
212,2010,07,마산,125,"2,012,302"
213,2010,07,삼천포,16,"570,319"
214,2010,07,옥포,9,"40,248"
215,2010,07,장승포,0,0
216,2010,07,진해,16,"154,642"
217,2010,07,통영,29,"20,512"
218,2010,07,고현,10,"82,747"
219,2010,07,하동,10,"571,023"
220,2010,07,울산,727,"12,517,451"
221,2010,07,제주,16,"424,328"
222,2010,07,서귀포,0,0
223,2010,07,기타,0,0
224,2010,08,항만명,"4,982","101,303,896"
225,2010,08,부산,"1,697","35,446,151"
226,2010,08,인천,604,"9,971,024"
227,2010,08,평택.당진,310,"7,329,187"
228,2010,08,경인항,0,0
