,Ship Company,Enter Time,Out Time,Duration days,Duration hours,Total duration(Hours),Day difference
59,SKR,2012-07-10 16:00:00,2012-07-10 20:00:00,1,20:00:00,44,-1 days +20:00:00
60,DJS,2012-07-13 21:00:00,2012-07-14 01:00:00,1,20:00:00,44,-1 days +20:00:00
61,SKR,2012-07-14 10:00:00,2012-07-14 14:00:00,1,20:00:00,44,-1 days +20:00:00
62,DJS,2012-07-16 22:00:00,2012-07-17 03:00:00,1,19:00:00,43,-1 days +19:00:00
63,SKR,2012-07-17 16:00:00,2012-07-17 20:30:00,1,19:30:00,43,-1 days +19:30:00
64,DJS,2012-07-21 00:40:00,2012-07-21 04:00:00,1,20:40:00,44,-1 days +20:40:00
65,DJS,2012-07-23 20:00:00,2012-07-24 05:30:00,1,14:30:00,38,-1 days +14:30:00
66,SKR,2012-07-24 15:30:00,2012-07-24 20:00:00,1,19:30:00,43,-1 days +19:30:00
67,DJS,2012-07-27 20:40:00,2012-07-27 23:20:00,1,21:20:00,45,-1 days +21:20:00
68,SKR,2012-07-31 16:45:00,2012-07-31 20:00:00,1,20:45:00,44,-1 days +20:45:00
69,SKR,2012-08-04 10:00:00,2012-08-04 13:00:00,1,21:00:00,45,-1 days +21:00:00
70,SKR,2012-08-07 16:00:00,2012-08-07 21:00:00,1,19:00:00,43,-1 days +19:00:00
71,DJS,2012-08-11 01:15:00,2012-08-11 04:20:00,1,20:55:00,44,-1 days +20:55:00
72,CKL,2012-08-13 23:00:00,2012-08-14 07:00:00,1,16:00:00,40,-1 days +16:00:00
73,SKR,2012-08-14 16:30:00,2012-08-14 23:00:00,1,17:30:00,41,-1 days +17:30:00
74,HAS,2012-08-16 23:00:00,2012-08-17 08:00:00,1,15:00:00,39,-1 days +15:00:00
75,DJS,2012-08-17 20:00:00,2012-08-17 23:00:00,1,21:00:00,45,-1 days +21:00:00
76,DJS,2012-08-20 20:00:00,2012-08-21 04:00:00,1,16:00:00,40,-1 days +16:00:00
77,SKR,2012-08-21 16:00:00,2012-08-21 22:00:00,1,18:00:00,42,-1 days +18:00:00
78,DJS,2012-08-24 20:00:00,2012-08-24 23:00:00,1,21:00:00,45,-1 days +21:00:00
79,DJS,2012-08-26 04:20:00,2012-08-26 23:59:00,1,04:21:00,28,-1 days +04:21:00
80,DJS,2012-09-01 00:20:00,2012-09-01 07:10:00,1,17:10:00,41,-1 days +17:10:00
81,SKR,2012-09-01 09:00:00,2012-09-01 13:10:00,1,19:50:00,43,-1 days +19:50:00
82,SNL,2012-09-01 14:00:00,2012-09-01 17:00:00,1,21:00:00,45,-1 days +21:00:00
83,DJS,2012-09-03 20:00:00,2012-09-04 07:00:00,1,13:00:00,37,-1 days +13:00:00
84,SKR,2012-09-04 16:00:00,2012-09-04 20:00:00,1,20:00:00,44,-1 days +20:00:00
85,DJS,2012-09-07 20:00:00,2012-09-07 23:59:00,1,20:01:00,44,-1 days +20:01:00
86,SKR,2012-09-09 15:10:00,2012-09-09 17:00:00,1,22:10:00,46,-1 days +22:10:00
87,DJS,2012-09-10 20:10:00,2012-09-11 02:20:00,1,17:50:00,41,-1 days +17:50:00
88,SKR,2012-09-11 20:00:00,2012-09-11 22:00:00,1,22:00:00,46,-1 days +22:00:00
89,DJS,2012-09-14 21:10:00,2012-09-15 02:10:00,1,19:00:00,43,-1 days +19:00:00
90,SKR,2012-09-15 20:00:00,2012-09-15 21:00:00,1,23:00:00,47,-1 days +23:00:00
91,DJS,2012-09-22 01:10:00,2012-09-22 06:00:00,1,19:10:00,43,-1 days +19:10:00
